source_id,published,title,source_family,screening_tier,relation_to_sd,correctness,read_status,pages_read,source_url,pdf_url,intake_priority,notes
2608.13076,2026-08-13,SPADE: Speculative Decoding for Precise and Low-Cost Distributed Edge–Cloud Inference,arXiv,application,edge-cloud deployment,formal algorithm target-preserving; empirical table caveat,method_results_verified,6,https://arxiv.org/abs/2608.13076,https://arxiv.org/pdf/2608.13076,medium,Limited mechanism novelty and inconsistent zero-loss wording
2608.12932,2026-08-13,FLASHDRIVE: Flash Vision-Language-Action Inference for Autonomous Driving,arXiv,application,VLA pipeline with DFlash reasoning,mixed exact and approximate pipeline,method_results_verified,15,https://arxiv.org/abs/2608.12932,https://arxiv.org/pdf/2608.12932,medium,SD is one component of a broader optimized pipeline
2608.12913,2026-08-13,Decoupled Contrastive Decoding via Expert-Aligned Drafting,arXiv,core,exact acceleration of contrastive decoding,distribution-exact for contrastive target,method_results_verified,28,https://arxiv.org/abs/2608.12913,https://arxiv.org/pdf/2608.12913,immediate,Proposal is decoupled from amateur model
2608.12703,2026-08-13,"Alignment Drift in Single-Model Speculative Decoding for ASR: Mechanism, Correction, and Cost",arXiv,core,ASR draft audio alignment,target-preserving in exact arithmetic with BF16 caveat,method_results_verified,23,https://arxiv.org/abs/2608.12703,https://arxiv.org/pdf/2608.12703,immediate,Runtime anchor recovery and AnchorDraft training
2608.10362,2026-08-11,MemSpec: Memory-Aware Runtime for Adaptive Draft Scheduling in Speculative Decoding on Edge Devices,arXiv,core,resident-set drafter selection,target-preserving standard verification,method_results_verified,13,https://arxiv.org/abs/2608.10362,https://arxiv.org/pdf/2608.10362,immediate,Predict resident drafts and asynchronously prefetch or evict
2608.09703,2026-08-10,Matryoshka Language Model Suites,arXiv,core,nested target-draft architecture,target-preserving standard verification,method_results_verified,21,https://arxiv.org/abs/2608.09703,https://arxiv.org/pdf/2608.09703,immediate,Same-day late arrival missed by previous ingestion
S0925231226011574,2026-08-07,Adaptive Hybrid Speculative Decoding for Accelerating LLM Inference,ScienceDirect,formal-source-omission,confidence bypass and dynamic block batching,lossy approximate,publisher_html_screened,,https://www.sciencedirect.com/science/article/pii/S0925231226011574,,high,Abstract permits minor quality loss despite no-compromise wording
2026.findings-acl.1040,2026-07-01,SPIDE: Serial and Parallel Intertwined Speculative Decoding,ACL-Anthology,formal-source-omission,confidence acceptance mapping and draft verification,correctness-pending-full-read,official_abstract_screened,,https://aclanthology.org/2026.findings-acl.1040/,https://aclanthology.org/2026.findings-acl.1040.pdf,high,Absent from prior core and candidate table
2026.findings-acl.1065,2026-07-01,Training-Free Adaptive Speculative Decoding via Linguistic Priors,ACL-Anthology,formal-source-omission,POS-guided expansion and deferred verification,correctness-pending-full-read,official_abstract_screened,,https://aclanthology.org/2026.findings-acl.1065/,https://aclanthology.org/2026.findings-acl.1065.pdf,high,LinguaSpec deferred verification requires explicit correctness audit
2026.acl-long.353,2026-07-01,HCSpec: Two-Tier Horizontal Cascade Speculative Decoding for High-Efficiency Large Language Model Inference,ACL-Anthology,formal-source-omission,horizontal two-tier draft cascade,correctness-pending-full-read,official_abstract_screened,,https://aclanthology.org/2026.acl-long.353/,https://aclanthology.org/2026.acl-long.353.pdf,high,Uses stronger paths for early positions and lighter paths later
2026.eacl-long.255,2026-03-01,An Empirical Study of Speculative Decoding for Small Language Models,EACL-Anthology,evidence,small-model overhead study,not-a-method,official_abstract_screened,,https://aclanthology.org/2026.eacl-long.255/,https://aclanthology.org/2026.eacl-long.255.pdf,medium,Retrieval methods remain competitive when neural draft overhead dominates
